X,Y,DATA,ORA,LUOGO,Incidenti,lon,lat
13.3247169733796,38.1307956939553,19/01/2016,11.100000000000000,VIA UDITORE intersezione con VIA CIMABUE GIOVANNI,F,13.324717,38.130796
13.3676213258979,38.1181798664726,19/01/2016,11.199999999999999,VIA CALA di fronte al civico n. 48,F,13.367621,38.118180
13.3637300854931,38.1402132630007,19/01/2016,11.100000000000000,VIA RALLO ALBERTO intersezione VIA CIMBALI GIUSEPPE,F,13.363730,38.140213
13.3141938738372,38.1622036061629,19/01/2016,12.449999999999999,VIA LA MALFA UGO intersezione con VIA TRANCHINA,C,13.314194,38.162204
13.2916560666593,38.1258315978461,19/01/2016,13.000000000000000,VIA CASTELLANA altezza del civico 147,F,13.291656,38.125832
13.3262358309808,38.0757652235188,19/01/2016,14.000000000000000,VIA ALTOFONTE nr. 231,F,13.326236,38.075765
13.355536096544,38.0879032504385,19/01/2016,15.400000000000000,VIA DEL CIGNO nr. 35,C,13.355536,38.087903
13.3159377462878,38.1970131217903,19/01/2016,17.000000000000000,VIALE CAVARRETTA intersezione con VIA NETTUNO,F,13.315938,38.197013
13.3970757837056,38.0956597857465,19/01/2016,19.300000000000001,VIA PECORAINO FILIPPO pressi via corselli,F,13.397076,38.095660
13.3239997808657,38.1591449094986,20/01/2016,7.300000000000000,VIALE STRASBURGO di fronte al civico 251,F,13.324000,38.159145
13.3354650977463,38.1463133297999,20/01/2016,13.449999999999999,VIA VALDEMONE intersezione con VIA LIGURIA,C,13.335465,38.146313
13.3846007502214,38.0961647618293,20/01/2016,13.400000000000000,VIA HAZON AZOLINO di fronte al civico 59,F,13.384601,38.096165
13.3674481320122,38.1111032960631,20/01/2016,16.000000000000000,PIAZZA GIULIO CESARE intersezione con VIA PALMERI,F,13.367448,38.111103
13.3057906604954,38.1889369595618,20/01/2016,21.100000000000001,VIALE DELL'OLIMPO altezza del civico 47,F,13.305791,38.188937
13.3638029396155,38.117027305884,17/01/2016,2.300000000000000,VIA PANNIERI nr. 32,C,13.363803,38.117027
13.3063892868318,38.1206560800062,17/01/2016,5.000000000000000,VIA ROCCAZZO di fronte cabina enel,C,13.306389,38.120656
13.3231549759558,38.1601511519954,18/01/2016,10.000000000000000,VIALE STRASBURGO nr. 269/A,C,13.323155,38.160151
13.3666070895923,38.10943345334,19/01/2016,15.550000000000001,PIAZZA GIULIO CESARE intersezione PIAZZA CUPANI,F,13.366607,38.109433
13.3063892868318,38.1206560800062,19/01/2016,20.300000000000001,VIA ROCCAZZO altezza (spec.) IST.ZOOPROF.,C,13.306389,38.120656
13.3314904651999,38.1399578094593,20/01/2016,16.449999999999999,VIALE REGIONE SICILIANA N.O. altezza (spec.) rotonda,F,13.331490,38.139958
13.3341370900944,38.1284425067814,21/01/2016,8.500000000000000,VIA CAMPOLO GIOVANNI di fronte 60,F,13.334137,38.128443
13.3365536337974,38.1431026056364,21/01/2016,14.449999999999999,VIA RESTIVO EMPEDOCLE nr. 54,F,13.336554,38.143103
13.3511657130744,38.1098665255391,21/01/2016,11.500000000000000,PIAZZA INDIPENDENZA pressi N° 1,F,13.351166,38.109867
13.3695589692721,38.1161971810027,21/01/2016,14.000000000000000,VIA ALLORO intersezione VIA DELLA VETRIERA,C,13.369559,38.116197
13.3574828878869,38.148101321506,21/01/2016,13.150000000000000,VIA BONANNO PIETRO intersezione VIA NICASTRO,C,13.357483,38.148101
13.3663099738735,38.1202072793159,21/01/2016,16.250000000000000,VIA CRISPI FRANCESCO intersezione VIA S.SEBASTIANO,C,13.366310,38.120207
13.350796637373,38.1222163189969,22/01/2016,9.199999999999999,PIAZZA AMENDOLA GIOVANNI altezza del civico 47,F,13.350797,38.122216
13.3331848880039,38.1873106213115,22/01/2016,14.199999999999999,VIALE MARGHERITA DI SAVOIA pressi 87,F,13.333185,38.187311
13.3333822109977,38.1220065098823,22/01/2016,18.000000000000000,PIAZZA NOCE altezza del civico 1,C,13.333382,38.122007
13.4325327431598,38.0890820776827,22/01/2016,17.550000000000001,VIA GALLETTI pressi N° 86,F,13.432533,38.089082
13.3196431210155,38.0938386205847,22/01/2016,17.449999999999999,VIA PARUTA FILIPPO intersezione con VIA SAITTA LONGHI,F,13.319643,38.093839
13.3658464941586,38.0872631178658,22/01/2016,19.300000000000001,VIADOTTO PERRIER CARLO intersezione con VIA,C,13.365846,38.087263
13.3306806285961,38.1364407864727,22/01/2016,20.449999999999999,VIALE REGIONE SICILIANA N.O. altezza del civico 3135,F,13.330681,38.136441
13.3874210267372,38.1058550593348,22/01/2016,23.000000000000000,VIA MESSINA MARINE altezza del civico 277,F,13.387421,38.105855
13.3710342956515,38.1201287193898,23/01/2016,5.100000000000000,VIA CALA pressi V. FORO UMB. I°,F,13.371034,38.120129
13.3302147125114,38.1248452319896,23/01/2016,5.300000000000000,VIA MONTUORO RINALDO intersezione con VIA SAURO,F,13.330215,38.124845
13.3487809890585,38.1276310236203,23/01/2016,9.300000000000001,VIA CATANIA intersezione con VIA MARSALA,F,13.348781,38.127631
13.3546292242322,38.1349314330833,23/01/2016,12.500000000000000,VIA DUCA DELLA VERDURA altezza (spec.) civ. 55,F,13.354629,38.134931
13.338265441506,38.1335384950701,23/01/2016,14.550000000000001,VIA CILEA FRANCESCO intersezione con VIA ZANDONAI,F,13.338265,38.133538
13.3498338931359,38.1401449500074,23/01/2016,15.500000000000000,VIA TOSELLI PIETRO MAGG. intersezione con VIA ALESSI,F,13.349834,38.140145
13.333963228369,38.1325763708693,24/01/2016,4.100000000000000,VIA BORREMANS GUGLIELMO altezza (inters.) VIALE,C,13.333963,38.132576
13.3177598201335,38.1366619038273,23/01/2016,14.199999999999999,VIALE MICHELANGELO altezza del civico 1180,F,13.317760,38.136662
13.3337136208538,38.1004012986398,23/01/2016,14.300000000000001,VIA FALVETTO MICHELANGELO intersezione con VIA,F,13.333714,38.100401
13.3841836297404,38.08973366738,23/01/2016,14.199999999999999,VIALE REGIONE SICILIANA S.E. in prossimità di via Giafar,F,13.384184,38.089734
13.3658983577836,38.1775154713346,24/01/2016,19.449999999999999,LUNGOMARE COLOMBO CRISTOFORO altezza (inters.),F,13.365898,38.177515
13.3167066180665,38.1388005786387,25/01/2016,1.150000000000000,VIA BADIA intersezione VIA BUONFORNELLO,F,13.316707,38.138801
13.3109915352754,38.1788018755909,25/01/2016,7.350000000000000,VIA EINAUDI LUIGI intersezione con VIA BIANCHINI,R,13.310992,38.178802
13.337742792696,38.1289171496255,25/01/2016,7.450000000000000,VIA SERRADIFALCO altezza del civico 137,F,13.337743,38.128917
13.4293071209377,38.0831633119453,25/01/2016,8.199999999999999,VIA MESSINA MONTAGNE altezza del civico 13/D,F,13.429307,38.083163
13.3307318913128,38.1011339620102,25/01/2016,10.300000000000001,VIALE REGIONE SICILIANA S.E. a mt. 200,C,13.330732,38.101134
13.3487238058759,38.1170054943426,25/01/2016,13.350000000000000,VIA LASCARIS COSTANTINO intersezione con VIA IMERA,C,13.348724,38.117005
