X,Y,id,ANNO,MESE,GIORNO,ORA,STRADA_1,MESE_1,GIORNO_1,DATA,ORA_1,STRADA,CIVICO,STRADA_2,TIPO_VA,TIPO_VB
11.2440829200596,43.7826309219969,416517,2011,LUGLIO,VENERDI',12.30,VLE BELFIORE,LUGLIO,VENERDÌ,2011/07/08,12.30,VLE BELFIORE,32 r,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2648303222387,43.7626261084848,417454,2011,SETTEMBRE,DOMENICA,11.10,PLE MICHELANGIOLO,SETTEMBRE,DOMENICA,2011/09/11,11.10,PLE MICHELANGIOLO,,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2383051674595,43.8007340481627,417422,2011,SETTEMBRE,DOMENICA,12.00,VIA REGINALDO GIULIANI,SETTEMBRE,DOMENICA,2011/09/11,12.00,VIA REGINALDO GIULIANI,80/r,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.2317546941103,43.7892547155907,418942,2011,NOVEMBRE,MERCOLEDI',14.50,VIA GIOVAN FILIPPO MARITI,NOVEMBRE,MERCOLEDÌ,2011/11/30,14.50,VIA GIOVAN FILIPPO MARITI,,PROSSIMITA' V.LE REDI,VELOCIPEDE,MOTOCICLO A SOLO
11.2649697429,43.7866230443288,417487,2011,SETTEMBRE,LUNEDI',16.40,VIA LUNGO IL MUGNONE,SETTEMBRE,LUNEDÌ,2011/09/05,16.40,VIA LUNGO IL MUGNONE,,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2275284580296,43.7731221301847,418067,2011,OTTOBRE,LUNEDI',00.20,VIA BRONZINO,OTTOBRE,LUNEDÌ,2011/10/17,00.20,VIA BRONZINO,117,,VELOCIPEDE,
11.2725486944271,43.7799857529419,415194,2011,APRILE,MARTEDI',19.30,VIA GIAMBOLOGNA,APRILE,MARTEDÌ,2011/04/19,19.30,VIA GIAMBOLOGNA,40,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2544248358864,43.7702123179016,415548,2011,MAGGIO,LUNEDI',08.50,VIA PORTA ROSSA,MAGGIO,LUNEDÌ,2011/05/02,08.50,VIA PORTA ROSSA,,VIA CALIMALA,VELOCIPEDE,VEICOLI SPECIALI
11.2569305083327,43.782760769324,418402,2011,NOVEMBRE,MERCOLEDI',07.40,VLE SPARTACO LAVAGNINI,NOVEMBRE,MERCOLEDÌ,2011/11/02,07.40,VLE SPARTACO LAVAGNINI,,VIA AGNOLO POLIZIANO,VELOCIPEDE,MOTOCICLO A SOLO
11.2727100742579,43.7750534123867,417838,2011,OTTOBRE,MARTEDI',08.10,VIA DEI DELLA ROBBIA,OTTOBRE,MARTEDÌ,2011/10/04,08.10,VIA DEI DELLA ROBBIA,,VLE GIUSEPPE MAZZINI,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2198422422953,43.7818521941653,416322,2011,GIUGNO,SABATO,18.10,PLE DELLE CASCINE,GIUGNO,SABATO,2011/06/25,18.10,PLE DELLE CASCINE,2,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2953442758006,43.7862565148608,418205,2011,OTTOBRE,VENERDI',17.20,VIA DEL SALVIATINO,OTTOBRE,VENERDÌ,2011/10/14,17.20,VIA DEL SALVIATINO,10,,VELOCIPEDE,
11.2973824606238,43.7555090266063,418916,2011,NOVEMBRE,MARTEDI',23.40,VIA DI RIPOLI,NOVEMBRE,MARTEDÌ,2011/11/29,23.40,VIA DI RIPOLI,226,,MOTOCICLO A SOLO,VELOCIPEDE
11.2427668391369,43.7817985843343,419126,2011,DICEMBRE,LUNEDI',15.40,VLE BELFIORE,DICEMBRE,LUNEDÌ,2011/12/12,15.40,VLE BELFIORE,42,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.259526596351,43.7832486638099,417639,2011,SETTEMBRE,VENERDI',16.45,VLE SPARTACO LAVAGNINI,SETTEMBRE,VENERDÌ,2011/09/23,16.45,VLE SPARTACO LAVAGNINI,11,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2279044419888,43.7898115634695,418538,2011,NOVEMBRE,MERCOLEDI',20.05,VIA DELLA VILLA DEMIDOFF,NOVEMBRE,MERCOLEDÌ,2011/11/09,20.05,VIA DELLA VILLA DEMIDOFF,,VIA DI NOVOLI,VELOCIPEDE,AUTOVETTURA PRIVATA
